No.,Order,Color,Intensity
1,1,White,775.0
2,2,White,769.0
3,3,White,774.0
4,4,White,775.0
5,5,White,772.0
6,6,White,775.0
7,7,White,766.0
8,8,White,777.0
9,9,White,772.0
10,10,White,773.0
11,11,White,776.0
12,12,White,773.0
13,13,White,773.0
14,14,White,772.0
15,15,White,775.0
16,16,White,772.0
17,17,White,766.0
18,18,White,775.0
19,19,White,772.0
20,20,White,773.0
21,21,White,774.0
22,22,White,769.0
23,23,White,775.0
24,24,White,776.0
25,25,White,774.0
26,26,White,774.0
27,27,White,779.0
28,28,White,773.0
29,29,White,773.0
30,1,Red,276.0
31,2,Red,277.0
32,3,Red,276.0
33,4,Red,278.0
34,5,Red,276.0
35,6,Red,272.0
36,7,Red,275.0
37,8,Red,273.0
38,9,Red,273.0
39,10,Red,275.0
40,11,Red,277.0
41,12,Red,279.0
42,13,Red,277.0
43,14,Red,274.0
44,15,Red,278.0
45,16,Red,273.0
46,17,Red,271.0
47,18,Red,274.0
48,19,Red,277.0
49,20,Red,276.0
50,21,Red,277.0
51,22,Red,279.0
52,23,Red,278.0
53,24,Red,275.0
54,25,Red,277.0
55,26,Red,268.0
56,27,Red,277.0
57,28,Red,273.0
58,29,Red,273.0
59,1,Green,329.0
60,2,Green,325.0
61,3,Green,322.0
62,4,Green,326.0
63,5,Green,329.0
64,6,Green,326.0
65,7,Green,326.0
66,8,Green,323.0
67,9,Green,330.0
68,10,Green,325.0
69,11,Green,331.0
70,12,Green,327.0
71,13,Green,329.0
72,14,Green,329.0
73,15,Green,323.0
74,16,Green,331.0
75,17,Green,322.0
76,18,Green,329.0
77,19,Green,324.0
78,20,Green,328.0
79,21,Green,322.0
80,22,Green,328.0
81,23,Green,326.0
82,24,Green,333.0
83,25,Green,328.0
84,26,Green,324.0
85,27,Green,333.0
86,28,Green,331.0
87,29,Green,326.0
88,30,Green,327.0
89,1,Blue,209.0
90,2,Blue,207.0
91,3,Blue,208.0
92,4,Blue,214.0
93,5,Blue,210.0
94,6,Blue,212.0
95,7,Blue,212.0
96,8,Blue,209.0
97,9,Blue,207.0
98,10,Blue,209.0
99,11,Blue,214.0
100,12,Blue,208.0
101,13,Blue,211.0
102,14,Blue,210.0
103,15,Blue,213.0
104,16,Blue,208.0
105,17,Blue,209.0
106,18,Blue,210.0
107,19,Blue,207.0
108,20,Blue,212.0
109,21,Blue,213.0
110,22,Blue,211.0
111,23,Blue,208.0
112,24,Blue,212.0
113,25,Blue,209.0
114,26,Blue,210.0
115,27,Blue,208.0
116,28,Blue,214.0
117,29,Blue,211.0
118,1,Black,5.0
119,2,Black,4.0
120,3,Black,5.0
121,4,Black,5.0
122,5,Black,5.0
123,6,Black,6.0
124,7,Black,6.0
125,8,Black,5.0
126,9,Black,5.0
127,10,Black,5.0
128,11,Black,6.0
129,12,Black,5.0
130,13,Black,5.0
131,14,Black,5.0
132,15,Black,5.0
133,16,Black,6.0
134,17,Black,6.0
135,18,Black,5.0
136,19,Black,5.0
137,20,Black,5.0
138,21,Black,5.0
139,22,Black,6.0
140,23,Black,5.0
141,24,Black,5.0
142,25,Black,6.0
143,26,Black,5.0
144,27,Black,5.0
145,28,Black,5.0
146,29,Black,5.0
176,1,White,771.0
177,2,White,768.0
178,3,White,766.0
179,4,White,763.0
180,5,White,765.0
181,6,White,768.0
182,7,White,771.0
183,8,White,763.0
184,9,White,766.0
185,10,White,761.0
186,11,White,770.0
187,12,White,761.0
188,13,White,773.0
189,14,White,765.0
190,15,White,764.0
191,16,White,770.0
192,17,White,766.0
193,18,White,762.0
194,19,White,765.0
195,20,White,765.0
196,21,White,771.0
197,22,White,766.0
198,23,White,762.0
199,24,White,769.0
200,25,White,772.0
201,26,White,770.0
202,27,White,773.0
203,28,White,767.0
204,29,White,767.0
205,1,Red,272.0
206,2,Red,268.0
207,3,Red,274.0
208,4,Red,269.0
209,5,Red,273.0
210,6,Red,269.0
211,7,Red,271.0
212,8,Red,270.0
213,9,Red,271.0
214,10,Red,270.0
215,11,Red,276.0
216,12,Red,270.0
217,13,Red,272.0
218,14,Red,270.0
219,15,Red,268.0
220,16,Red,266.0
221,17,Red,274.0
222,18,Red,276.0
223,19,Red,277.0
224,20,Red,268.0
225,21,Red,271.0
226,22,Red,276.0
227,23,Red,276.0
228,24,Red,275.0
229,25,Red,267.0
230,26,Red,277.0
231,27,Red,273.0
232,28,Red,266.0
233,29,Red,272.0
234,30,Red,274.0
235,1,Green,327.0
236,2,Green,326.0
237,3,Green,331.0
238,4,Green,329.0
239,5,Green,325.0
240,6,Green,326.0
241,7,Green,328.0
242,8,Green,326.0
243,9,Green,326.0
244,10,Green,328.0
245,11,Green,332.0
246,12,Green,324.0
247,13,Green,330.0
248,14,Green,325.0
249,15,Green,328.0
250,16,Green,325.0
251,17,Green,329.0
252,18,Green,326.0
253,19,Green,327.0
254,20,Green,324.0
255,21,Green,329.0
256,22,Green,328.0
257,23,Green,325.0
258,24,Green,323.0
259,25,Green,328.0
260,26,Green,327.0
261,27,Green,328.0
262,28,Green,324.0
263,29,Green,319.0
264,1,Blue,213.0
265,2,Blue,214.0
266,3,Blue,213.0
267,4,Blue,208.0
268,5,Blue,214.0
269,6,Blue,210.0
270,7,Blue,214.0
271,8,Blue,210.0
272,9,Blue,212.0
273,10,Blue,211.0
274,11,Blue,208.0
275,12,Blue,211.0
276,13,Blue,210.0
277,14,Blue,206.0
278,15,Blue,207.0
279,16,Blue,209.0
280,17,Blue,209.0
281,18,Blue,206.0
282,19,Blue,209.0
283,20,Blue,209.0
284,21,Blue,214.0
285,22,Blue,209.0
286,23,Blue,208.0
287,24,Blue,207.0
288,25,Blue,204.0
289,26,Blue,209.0
290,27,Blue,208.0
291,28,Blue,208.0
292,29,Blue,208.0
293,1,Black,5.0
294,2,Black,5.0
295,3,Black,5.0
296,4,Black,5.0
297,5,Black,6.0
298,6,Black,5.0
299,7,Black,5.0
300,8,Black,5.0
301,9,Black,6.0
302,10,Black,6.0
303,11,Black,5.0
304,12,Black,5.0
305,13,Black,5.0
306,14,Black,4.0
307,15,Black,5.0
308,16,Black,5.0
309,17,Black,5.0
310,18,Black,6.0
311,19,Black,5.0
312,20,Black,4.0
313,21,Black,5.0
314,22,Black,5.0
315,23,Black,5.0
316,24,Black,5.0
317,25,Black,5.0
318,26,Black,5.0
319,27,Black,5.0
320,28,Black,5.0
321,29,Black,5.0
352,1,White,759.0
353,2,White,756.0
354,3,White,768.0
355,4,White,760.0
356,5,White,754.0
357,6,White,770.0
358,7,White,772.0
359,8,White,771.0
360,9,White,769.0
361,10,White,772.0
362,11,White,768.0
363,12,White,762.0
364,13,White,763.0
365,14,White,753.0
366,15,White,763.0
367,16,White,769.0
368,17,White,755.0
369,18,White,765.0
370,19,White,765.0
371,20,White,769.0
372,21,White,765.0
373,22,White,760.0
374,23,White,756.0
375,24,White,770.0
376,25,White,762.0
377,26,White,767.0
378,27,White,765.0
379,28,White,764.0
380,29,White,762.0
381,1,Red,270.0
382,2,Red,271.0
383,3,Red,265.0
384,4,Red,272.0
385,5,Red,269.0
386,6,Red,271.0
387,7,Red,265.0
388,8,Red,275.0
389,9,Red,274.0
390,10,Red,267.0
391,11,Red,271.0
392,12,Red,269.0
393,13,Red,272.0
394,14,Red,272.0
395,15,Red,275.0
396,16,Red,268.0
397,17,Red,275.0
398,18,Red,271.0
399,19,Red,270.0
400,20,Red,275.0
401,21,Red,276.0
402,22,Red,272.0
403,23,Red,271.0
404,24,Red,276.0
405,25,Red,269.0
406,26,Red,270.0
407,27,Red,263.0
408,28,Red,273.0
409,29,Red,267.0
410,1,Green,321.0
411,2,Green,327.0
412,3,Green,330.0
413,4,Green,326.0
414,5,Green,326.0
415,6,Green,323.0
416,7,Green,326.0
417,8,Green,330.0
418,9,Green,326.0
419,10,Green,324.0
420,11,Green,321.0
421,12,Green,324.0
422,13,Green,324.0
423,14,Green,324.0
424,15,Green,328.0
425,16,Green,321.0
426,17,Green,326.0
427,18,Green,326.0
428,19,Green,325.0
429,20,Green,324.0
430,21,Green,322.0
431,22,Green,319.0
432,23,Green,325.0
433,24,Green,325.0
434,25,Green,325.0
435,26,Green,326.0
436,27,Green,323.0
437,28,Green,323.0
438,29,Green,329.0
439,1,Blue,207.0
440,2,Blue,214.0
441,3,Blue,205.0
442,4,Blue,209.0
443,5,Blue,210.0
444,6,Blue,210.0
445,7,Blue,208.0
446,8,Blue,208.0
447,9,Blue,209.0
448,10,Blue,210.0
449,11,Blue,206.0
450,12,Blue,208.0
451,13,Blue,207.0
452,14,Blue,207.0
453,15,Blue,209.0
454,16,Blue,206.0
455,17,Blue,205.0
456,18,Blue,214.0
457,19,Blue,214.0
458,20,Blue,206.0
459,21,Blue,213.0
460,22,Blue,210.0
461,23,Blue,207.0
462,24,Blue,206.0
463,25,Blue,212.0
464,26,Blue,211.0
465,27,Blue,214.0
466,28,Blue,210.0
467,29,Blue,204.0
468,30,Blue,213.0
469,1,Black,5.0
470,2,Black,6.0
471,3,Black,5.0
472,4,Black,5.0
473,5,Black,5.0
474,6,Black,5.0
475,7,Black,5.0
476,8,Black,5.0
477,9,Black,5.0
478,10,Black,5.0
479,11,Black,5.0
480,12,Black,5.0
481,13,Black,5.0
482,14,Black,5.0
483,15,Black,5.0
484,16,Black,6.0
485,17,Black,6.0
486,18,Black,4.0
487,19,Black,4.0
488,20,Black,5.0
489,21,Black,5.0
490,22,Black,6.0
491,23,Black,5.0
492,24,Black,5.0
493,25,Black,6.0
494,26,Black,5.0
495,27,Black,5.0
496,28,Black,6.0
497,29,Black,4.0
527,1,White,770.0
528,2,White,764.0
529,3,White,768.0
530,4,White,763.0
531,5,White,761.0
532,6,White,763.0
533,7,White,758.0
534,8,White,767.0
535,9,White,758.0
536,10,White,762.0
537,11,White,763.0
538,12,White,768.0
539,13,White,759.0
540,14,White,766.0
541,15,White,761.0
542,16,White,763.0
543,17,White,766.0
544,18,White,764.0
545,19,White,769.0
546,20,White,757.0
547,21,White,768.0
548,22,White,761.0
549,23,White,761.0
550,24,White,760.0
551,25,White,764.0
552,26,White,764.0
553,27,White,762.0
554,28,White,762.0
555,29,White,762.0
556,1,Red,267.0
557,2,Red,265.0
558,3,Red,268.0
559,4,Red,267.0
560,5,Red,267.0
561,6,Red,267.0
562,7,Red,268.0
563,8,Red,267.0
564,9,Red,266.0
565,10,Red,269.0
566,11,Red,274.0
567,12,Red,274.0
568,13,Red,268.0
569,14,Red,266.0
570,15,Red,272.0
571,16,Red,268.0
572,17,Red,274.0
573,18,Red,267.0
574,19,Red,267.0
575,20,Red,265.0
576,21,Red,268.0
577,22,Red,274.0
578,23,Red,271.0
579,24,Red,274.0
580,25,Red,268.0
581,26,Red,274.0
582,27,Red,269.0
583,28,Red,270.0
584,29,Red,270.0
585,30,Red,274.0
586,1,Green,324.0
587,2,Green,318.0
588,3,Green,325.0
589,4,Green,326.0
590,5,Green,328.0
591,6,Green,325.0
592,7,Green,330.0
593,8,Green,324.0
594,9,Green,319.0
595,10,Green,319.0
596,11,Green,327.0
597,12,Green,331.0
598,13,Green,328.0
599,14,Green,328.0
600,15,Green,324.0
601,16,Green,330.0
602,17,Green,326.0
603,18,Green,329.0
604,19,Green,321.0
605,20,Green,317.0
606,21,Green,325.0
607,22,Green,325.0
608,23,Green,323.0
609,24,Green,328.0
610,25,Green,324.0
611,26,Green,325.0
612,27,Green,326.0
613,28,Green,329.0
614,29,Green,325.0
615,1,Blue,212.0
616,2,Blue,206.0
617,3,Blue,213.0
618,4,Blue,207.0
619,5,Blue,207.0
620,6,Blue,213.0
621,7,Blue,213.0
622,8,Blue,213.0
623,9,Blue,210.0
624,10,Blue,207.0
625,11,Blue,212.0
626,12,Blue,206.0
627,13,Blue,210.0
628,14,Blue,207.0
629,15,Blue,208.0
630,16,Blue,210.0
631,17,Blue,207.0
632,18,Blue,211.0
633,19,Blue,212.0
634,20,Blue,211.0
635,21,Blue,212.0
636,22,Blue,208.0
637,23,Blue,209.0
638,24,Blue,209.0
639,25,Blue,204.0
640,26,Blue,202.0
641,27,Blue,215.0
642,28,Blue,207.0
643,29,Blue,208.0
644,1,Black,5.0
645,2,Black,6.0
646,3,Black,6.0
647,4,Black,5.0
648,5,Black,5.0
649,6,Black,6.0
650,7,Black,5.0
651,8,Black,5.0
652,9,Black,6.0
653,10,Black,6.0
654,11,Black,6.0
655,12,Black,4.0
656,13,Black,5.0
657,14,Black,5.0
658,15,Black,5.0
659,16,Black,6.0
660,17,Black,6.0
661,18,Black,5.0
662,19,Black,5.0
663,20,Black,6.0
664,21,Black,5.0
665,22,Black,5.0
666,23,Black,6.0
667,24,Black,5.0
668,25,Black,5.0
669,26,Black,5.0
670,27,Black,4.0
671,28,Black,5.0
