No.,Order,Color,Intensity
1,1,White,802
2,2,White,800
3,3,White,801
4,4,White,806
5,5,White,799
6,6,White,810
7,7,White,813
8,8,White,806
9,9,White,806
10,10,White,810
11,11,White,808
12,12,White,806
13,13,White,799
14,14,White,799
15,15,White,807
16,16,White,812
17,17,White,811
18,18,White,812
19,19,White,808
20,20,White,807
21,21,White,805
22,22,White,808
23,23,White,807
24,24,White,808
25,25,White,806
26,26,White,807
27,27,White,808
28,28,White,805
29,29,White,809
30,1,Red,356
31,2,Red,350
32,3,Red,353
33,4,Red,348
34,5,Red,349
35,6,Red,349
36,7,Red,351
37,8,Red,353
38,9,Red,354
39,10,Red,350
40,11,Red,348
41,12,Red,347
42,13,Red,353
43,14,Red,353
44,15,Red,348
45,16,Red,346
46,17,Red,347
47,18,Red,352
48,19,Red,348
49,20,Red,347
50,21,Red,354
51,22,Red,344
52,23,Red,352
53,24,Red,353
54,25,Red,350
55,26,Red,345
56,27,Red,352
57,28,Red,351
58,29,Red,348
59,1,Green,216
60,2,Green,215
61,3,Green,217
62,4,Green,220
63,5,Green,214
64,6,Green,218
65,7,Green,215
66,8,Green,219
67,9,Green,220
68,10,Green,220
69,11,Green,213
70,12,Green,219
71,13,Green,216
72,14,Green,214
73,15,Green,219
74,16,Green,216
75,17,Green,219
76,18,Green,214
77,19,Green,221
78,20,Green,214
79,21,Green,222
80,22,Green,212
81,23,Green,222
82,24,Green,219
83,25,Green,217
84,26,Green,218
85,27,Green,218
86,28,Green,215
87,29,Green,220
88,1,Blue,294
89,2,Blue,287
90,3,Blue,286
91,4,Blue,289
92,5,Blue,294
93,6,Blue,288
94,7,Blue,287
95,8,Blue,290
96,9,Blue,289
97,10,Blue,289
98,11,Blue,291
99,12,Blue,294
100,13,Blue,290
101,14,Blue,289
102,15,Blue,291
103,16,Blue,283
104,17,Blue,289
105,18,Blue,294
106,19,Blue,286
107,20,Blue,292
108,21,Blue,289
109,22,Blue,291
110,23,Blue,292
111,24,Blue,291
112,25,Blue,293
113,26,Blue,287
114,27,Blue,286
115,28,Blue,289
116,29,Blue,285
117,1,Black,8
118,2,Black,7
119,3,Black,8
120,4,Black,6
121,5,Black,7
122,6,Black,7
123,7,Black,7
124,8,Black,8
125,9,Black,8
126,10,Black,6
127,11,Black,8
128,12,Black,6
129,13,Black,5
130,14,Black,6
131,15,Black,6
132,16,Black,7
133,17,Black,6
134,18,Black,7
135,19,Black,5
136,20,Black,7
137,21,Black,5
138,22,Black,8
139,23,Black,6
140,24,Black,6
141,25,Black,7
142,26,Black,7
143,27,Black,7
144,28,Black,6
145,29,Black,8
176,1,White,810
177,2,White,809
178,3,White,816
179,4,White,813
180,5,White,810
181,6,White,812
182,7,White,812
183,8,White,812
184,9,White,812
185,10,White,804
186,11,White,814
187,12,White,802
188,13,White,813
189,14,White,811
190,15,White,814
191,16,White,809
192,17,White,802
193,18,White,809
194,19,White,806
195,20,White,810
196,21,White,814
197,22,White,809
198,23,White,802
199,24,White,810
200,25,White,809
201,26,White,809
202,27,White,809
203,28,White,818
204,29,White,811
205,1,Red,352
206,2,Red,353
207,3,Red,355
208,4,Red,352
209,5,Red,348
210,6,Red,349
211,7,Red,346
212,8,Red,356
213,9,Red,352
214,10,Red,348
215,11,Red,352
216,12,Red,351
217,13,Red,353
218,14,Red,345
219,15,Red,347
220,16,Red,357
221,17,Red,355
222,18,Red,352
223,19,Red,355
224,20,Red,353
225,21,Red,351
226,22,Red,347
227,23,Red,354
228,24,Red,354
229,25,Red,354
230,26,Red,355
231,27,Red,351
232,28,Red,351
233,29,Red,352
234,1,Green,218
235,2,Green,220
236,3,Green,221
237,4,Green,216
238,5,Green,216
239,6,Green,219
240,7,Green,220
241,8,Green,216
242,9,Green,215
243,10,Green,214
244,11,Green,215
245,12,Green,219
246,13,Green,215
247,14,Green,215
248,15,Green,214
249,16,Green,216
250,17,Green,220
251,18,Green,217
252,19,Green,222
253,20,Green,216
254,21,Green,215
255,22,Green,214
256,23,Green,219
257,24,Green,218
258,25,Green,218
259,26,Green,216
260,27,Green,218
261,28,Green,213
262,29,Green,215
263,1,Blue,289
264,2,Blue,287
265,3,Blue,288
266,4,Blue,289
267,5,Blue,290
268,6,Blue,285
269,7,Blue,292
270,8,Blue,293
271,9,Blue,294
272,10,Blue,295
273,11,Blue,293
274,12,Blue,288
275,13,Blue,290
276,14,Blue,290
277,15,Blue,288
278,16,Blue,290
279,17,Blue,290
280,18,Blue,290
281,19,Blue,288
282,20,Blue,287
283,21,Blue,286
284,22,Blue,288
285,23,Blue,293
286,24,Blue,293
287,25,Blue,289
288,26,Blue,289
289,27,Blue,288
290,28,Blue,286
291,29,Blue,294
292,1,Black,5
293,2,Black,7
294,3,Black,8
295,4,Black,5
296,5,Black,7
297,6,Black,6
298,7,Black,7
299,8,Black,8
300,9,Black,6
301,10,Black,6
302,11,Black,5
303,12,Black,7
304,13,Black,7
305,14,Black,5
306,15,Black,6
307,16,Black,6
308,17,Black,7
309,18,Black,6
310,19,Black,7
311,20,Black,7
312,21,Black,8
313,22,Black,6
314,23,Black,5
315,24,Black,7
316,25,Black,6
317,26,Black,6
318,27,Black,7
319,28,Black,6
320,29,Black,7
350,1,White,818
351,2,White,809
352,3,White,817
353,4,White,811
354,5,White,807
355,6,White,804
356,7,White,814
357,8,White,812
358,9,White,802
359,10,White,818
360,11,White,811
361,12,White,811
362,13,White,819
363,14,White,813
364,15,White,806
365,16,White,813
366,17,White,812
367,18,White,810
368,19,White,809
369,20,White,811
370,21,White,810
371,22,White,816
372,23,White,814
373,24,White,815
374,25,White,806
375,26,White,814
376,27,White,817
377,28,White,816
378,29,White,818
379,1,Red,352
380,2,Red,345
381,3,Red,358
382,4,Red,350
383,5,Red,352
384,6,Red,348
385,7,Red,351
386,8,Red,349
387,9,Red,350
388,10,Red,356
389,11,Red,353
390,12,Red,358
391,13,Red,351
392,14,Red,355
393,15,Red,354
394,16,Red,349
395,17,Red,358
396,18,Red,357
397,19,Red,349
398,20,Red,348
399,21,Red,347
400,22,Red,355
401,23,Red,349
402,24,Red,352
403,25,Red,352
404,26,Red,353
405,27,Red,349
406,28,Red,353
407,29,Red,354
408,1,Green,216
409,2,Green,218
410,3,Green,215
411,4,Green,214
412,5,Green,222
413,6,Green,211
414,7,Green,216
415,8,Green,219
416,9,Green,220
417,10,Green,214
418,11,Green,218
419,12,Green,221
420,13,Green,216
421,14,Green,216
422,15,Green,221
423,16,Green,214
424,17,Green,218
425,18,Green,221
426,19,Green,217
427,20,Green,219
428,21,Green,219
429,22,Green,216
430,23,Green,218
431,24,Green,220
432,25,Green,216
433,26,Green,217
434,27,Green,217
435,28,Green,217
436,29,Green,218
437,30,Green,218
438,1,Blue,290
439,2,Blue,293
440,3,Blue,289
441,4,Blue,288
442,5,Blue,294
443,6,Blue,290
444,7,Blue,288
445,8,Blue,288
446,9,Blue,289
