No.,Order,Color,Intensity
1,1,White,808
2,2,White,802
3,3,White,809
4,4,White,810
5,5,White,804
6,6,White,803
7,7,White,801
8,8,White,805
9,9,White,801
10,10,White,803
11,11,White,805
12,12,White,799
13,13,White,805
14,14,White,799
15,15,White,806
16,16,White,801
17,17,White,808
18,18,White,810
19,19,White,804
20,20,White,811
21,21,White,804
22,22,White,810
23,23,White,804
24,24,White,805
25,25,White,809
26,26,White,805
27,27,White,802
28,28,White,806
29,29,White,808
30,1,Red,349
31,2,Red,347
32,3,Red,347
33,4,Red,348
34,5,Red,351
35,6,Red,350
36,7,Red,349
37,8,Red,351
38,9,Red,344
39,10,Red,349
40,11,Red,351
41,12,Red,350
42,13,Red,350
43,14,Red,351
44,15,Red,346
45,16,Red,349
46,17,Red,355
47,18,Red,355
48,19,Red,349
49,20,Red,352
50,21,Red,350
51,22,Red,349
52,23,Red,348
53,24,Red,348
54,25,Red,352
55,26,Red,351
56,27,Red,350
57,28,Red,346
58,29,Red,356
59,1,Green,217
60,2,Green,215
61,3,Green,215
62,4,Green,214
63,5,Green,214
64,6,Green,214
65,7,Green,214
66,8,Green,214
67,9,Green,218
68,10,Green,217
69,11,Green,211
70,12,Green,217
71,13,Green,220
72,14,Green,218
73,15,Green,220
74,16,Green,217
75,17,Green,212
76,18,Green,210
77,19,Green,215
78,20,Green,215
79,21,Green,213
80,22,Green,213
81,23,Green,215
82,24,Green,217
83,25,Green,211
84,26,Green,216
85,27,Green,214
86,28,Green,213
87,29,Green,213
88,1,Blue,288
89,2,Blue,290
90,3,Blue,287
91,4,Blue,284
92,5,Blue,286
93,6,Blue,284
94,7,Blue,285
95,8,Blue,288
96,9,Blue,285
97,10,Blue,282
98,11,Blue,289
99,12,Blue,289
100,13,Blue,285
101,14,Blue,284
102,15,Blue,287
103,16,Blue,290
104,17,Blue,286
105,18,Blue,284
106,19,Blue,290
107,20,Blue,287
108,21,Blue,290
109,22,Blue,284
110,23,Blue,285
111,24,Blue,285
112,25,Blue,286
113,26,Blue,286
114,27,Blue,284
115,28,Blue,282
116,29,Blue,289
117,1,Black,6
118,2,Black,6
119,3,Black,7
120,4,Black,5
121,5,Black,6
122,6,Black,6
123,7,Black,6
124,8,Black,5
125,9,Black,6
126,10,Black,6
127,11,Black,6
128,12,Black,6
129,13,Black,7
130,14,Black,6
131,15,Black,6
132,16,Black,5
133,17,Black,7
134,18,Black,6
135,19,Black,7
136,20,Black,5
137,21,Black,7
138,22,Black,6
139,23,Black,6
140,24,Black,6
141,25,Black,6
142,26,Black,5
143,27,Black,6
144,28,Black,5
145,29,Black,6
175,1,White,806
176,2,White,810
177,3,White,807
178,4,White,812
179,5,White,810
180,6,White,802
181,7,White,807
182,8,White,815
183,9,White,810
184,10,White,806
185,11,White,809
186,12,White,805
187,13,White,812
188,14,White,812
189,15,White,808
190,16,White,812
191,17,White,807
192,18,White,810
193,19,White,811
194,20,White,812
195,21,White,810
196,22,White,807
197,23,White,814
198,24,White,806
199,25,White,807
200,26,White,810
201,27,White,803
202,28,White,806
203,29,White,815
204,1,Red,348
205,2,Red,357
206,3,Red,348
207,4,Red,354
208,5,Red,349
209,6,Red,353
210,7,Red,350
211,8,Red,350
212,9,Red,352
213,10,Red,348
214,11,Red,354
215,12,Red,344
216,13,Red,354
217,14,Red,352
218,15,Red,354
219,16,Red,350
220,17,Red,349
221,18,Red,349
222,19,Red,354
223,20,Red,356
224,21,Red,347
225,22,Red,350
226,23,Red,350
227,24,Red,356
228,25,Red,348
229,26,Red,353
230,27,Red,354
231,28,Red,348
232,29,Red,355
233,30,Red,353
234,1,Green,213
235,2,Green,220
236,3,Green,218
237,4,Green,221
238,5,Green,214
239,6,Green,217
240,7,Green,217
241,8,Green,213
242,9,Green,219
243,10,Green,215
244,11,Green,214
245,12,Green,213
246,13,Green,214
247,14,Green,214
248,15,Green,214
249,16,Green,219
250,17,Green,215
251,18,Green,213
252,19,Green,219
253,20,Green,218
254,21,Green,213
255,22,Green,219
256,23,Green,211
257,24,Green,220
258,25,Green,216
259,26,Green,220
260,27,Green,217
261,28,Green,212
262,29,Green,214
263,1,Blue,284
264,2,Blue,291
265,3,Blue,287
266,4,Blue,290
267,5,Blue,290
268,6,Blue,284
269,7,Blue,287
270,8,Blue,290
271,9,Blue,285
272,10,Blue,289
273,11,Blue,286
274,12,Blue,292
275,13,Blue,287
276,14,Blue,285
277,15,Blue,284
278,16,Blue,288
279,17,Blue,283
280,18,Blue,291
281,19,Blue,286
282,20,Blue,284
283,21,Blue,287
284,22,Blue,285
285,23,Blue,283
286,24,Blue,288
287,25,Blue,280
288,26,Blue,286
289,27,Blue,280
290,28,Blue,285
291,29,Blue,285
292,1,Black,5
293,2,Black,6
294,3,Black,5
295,4,Black,6
296,5,Black,6
297,6,Black,4
298,7,Black,7
299,8,Black,5
300,9,Black,6
301,10,Black,5
302,11,Black,6
303,12,Black,6
304,13,Black,5
305,14,Black,6
306,15,Black,5
307,16,Black,5
308,17,Black,6
309,18,Black,5
310,19,Black,6
311,20,Black,5
312,21,Black,5
313,22,Black,6
314,23,Black,5
315,24,Black,6
316,25,Black,5
317,26,Black,7
318,27,Black,5
319,28,Black,6
320,29,Black,6
350,1,White,811
351,2,White,803
352,3,White,812
353,4,White,813
354,5,White,808
355,6,White,815
356,7,White,813
357,8,White,813
358,9,White,812
359,10,White,808
360,11,White,814
361,12,White,810
362,13,White,815
363,14,White,817
364,15,White,805
365,16,White,809
366,17,White,811
367,18,White,809
368,19,White,811
369,20,White,808
370,21,White,808
371,22,White,814
372,23,White,810
373,24,White,817
374,25,White,809
375,26,White,815
376,27,White,808
377,28,White,817
378,29,White,813
379,1,Red,357
380,2,Red,355
381,3,Red,352
382,4,Red,349
383,5,Red,354
384,6,Red,353
385,7,Red,348
386,8,Red,356
387,9,Red,356
388,10,Red,357
389,11,Red,347
390,12,Red,358
391,13,Red,351
392,14,Red,351
393,15,Red,357
394,16,Red,349
395,17,Red,354
396,18,Red,354
397,19,Red,354
398,20,Red,348
399,21,Red,351
400,22,Red,349
401,23,Red,353
402,24,Red,353
403,25,Red,348
404,26,Red,354
405,27,Red,352
406,28,Red,352
407,29,Red,350
408,1,Green,215
409,2,Green,214
410,3,Green,222
411,4,Green,213
412,5,Green,217
413,6,Green,217
414,7,Green,217
415,8,Green,215
416,9,Green,218
417,10,Green,219
418,11,Green,215
419,12,Green,216
420,13,Green,216
421,14,Green,216
422,15,Green,219
423,16,Green,215
424,17,Green,215
425,18,Green,214
426,19,Green,220
427,20,Green,220
428,21,Green,218
429,22,Green,215
430,23,Green,216
431,24,Green,219
432,25,Green,219
433,26,Green,217
434,27,Green,218
435,28,Green,219
436,29,Green,216
437,1,Blue,287
438,2,Blue,292
439,3,Blue,284
440,4,Blue,291
441,5,Blue,287
442,6,Blue,285
443,7,Blue,281
444,8,Blue,287
445,9,Blue,280
446,10,Blue,285
447,11,Blue,290
448,12,Blue,287
449,13,Blue,285
450,14,Blue,286
451,15,Blue,288
452,16,Blue,290
453,17,Blue,288
454,18,Blue,289
455,19,Blue,293
456,20,Blue,283
457,21,Blue,293
458,22,Blue,289
459,23,Blue,290
460,24,Blue,289
461,25,Blue,284
462,26,Blue,285
463,27,Blue,291
464,28,Blue,291
465,29,Blue,290
466,1,Black,5
467,2,Black,7
468,3,Black,4
469,4,Black,6
470,5,Black,5
471,6,Black,7
472,7,Black,4
473,8,Black,7
474,9,Black,5
475,10,Black,6
476,11,Black,6
477,12,Black,6
478,13,Black,5
479,14,Black,6
480,15,Black,5
481,16,Black,6
482,17,Black,5
483,18,Black,5
484,19,Black,5
485,20,Black,6
486,21,Black,6
487,22,Black,6
488,23,Black,6
489,24,Black,6
490,25,Black,5
491,26,Black,6
492,27,Black,6
493,28,Black,6
494,29,Black,5
495,30,Black,5
525,1,White,815
526,2,White,810
527,3,White,818
528,4,White,809
529,5,White,815
530,6,White,805
531,7,White,814
532,8,White,812
533,9,White,812
534,10,White,818
535,11,White,816
536,12,White,809
537,13,White,808
538,14,White,810
539,15,White,813
