No.,Order,Color,Intensity
1,1,White,890.0
2,2,White,866.0
3,3,White,877.0
4,4,White,886.0
5,5,White,842.0
6,6,White,835.0
7,7,White,897.0
8,8,White,900.0
9,9,White,879.0
10,10,White,878.0
11,11,White,888.0
12,12,White,896.0
13,13,White,897.0
14,14,White,898.0
15,15,White,888.0
16,16,White,880.0
17,17,White,882.0
18,18,White,882.0
19,19,White,879.0
20,20,White,897.0
21,21,White,884.0
22,22,White,890.0
23,23,White,895.0
24,24,White,897.0
30,1,Red,332.0
31,2,Red,329.0
32,3,Red,329.0
33,4,Red,326.0
34,5,Red,330.0
35,6,Red,331.0
36,7,Red,332.0
37,8,Red,327.0
38,9,Red,330.0
39,10,Red,334.0
40,11,Red,337.0
41,12,Red,337.0
42,13,Red,336.0
43,14,Red,329.0
44,15,Red,330.0
45,16,Red,329.0
46,17,Red,323.0
47,18,Red,329.0
48,19,Red,330.0
49,20,Red,330.0
50,21,Red,327.0
51,22,Red,335.0
52,23,Red,329.0
53,24,Red,328.0
59,1,Green,354.0
60,2,Green,362.0
61,3,Green,362.0
62,4,Green,361.0
63,5,Green,384.0
64,6,Green,380.0
65,7,Green,371.0
66,8,Green,363.0
67,9,Green,375.0
68,10,Green,384.0
69,11,Green,382.0
70,12,Green,392.0
71,13,Green,391.0
72,14,Green,391.0
73,15,Green,386.0
74,16,Green,384.0
75,17,Green,383.0
76,18,Green,390.0
77,19,Green,384.0
78,20,Green,394.0
79,21,Green,386.0
80,22,Green,388.0
81,23,Green,384.0
82,24,Green,387.0
89,1,Blue,281.0
90,2,Blue,276.0
91,3,Blue,283.0
92,4,Blue,280.0
93,5,Blue,282.0
94,6,Blue,277.0
95,7,Blue,276.0
96,8,Blue,276.0
97,9,Blue,280.0
98,10,Blue,278.0
99,11,Blue,277.0
100,12,Blue,280.0
101,13,Blue,276.0
102,14,Blue,276.0
103,15,Blue,276.0
104,16,Blue,280.0
105,17,Blue,282.0
106,18,Blue,275.0
107,19,Blue,278.0
108,20,Blue,280.0
109,21,Blue,283.0
110,22,Blue,278.0
111,23,Blue,283.0
112,24,Blue,280.0
118,1,Black,16.0
119,2,Black,16.0
120,3,Black,16.0
121,4,Black,16.0
122,5,Black,17.0
123,6,Black,19.0
124,7,Black,17.0
125,8,Black,16.0
126,9,Black,15.0
127,10,Black,18.0
128,11,Black,18.0
129,12,Black,16.0
130,13,Black,16.0
131,14,Black,18.0
132,15,Black,18.0
133,16,Black,19.0
134,17,Black,19.0
135,18,Black,16.0
136,19,Black,16.0
137,20,Black,18.0
138,21,Black,19.0
139,22,Black,18.0
140,23,Black,19.0
141,24,Black,18.0
176,1,White,894.0
177,2,White,895.0
178,3,White,896.0
179,4,White,894.0
180,5,White,891.0
181,6,White,903.0
182,7,White,900.0
183,8,White,900.0
184,9,White,896.0
185,10,White,897.0
186,11,White,894.0
187,12,White,898.0
188,13,White,898.0
189,14,White,897.0
190,15,White,894.0
191,16,White,898.0
192,17,White,907.0
193,18,White,902.0
194,19,White,895.0
195,20,White,903.0
196,21,White,903.0
197,22,White,901.0
198,23,White,902.0
199,24,White,905.0
206,1,Red,331.0
207,2,Red,332.0
208,3,Red,331.0
209,4,Red,337.0
210,5,Red,337.0
