P10_1D_concentrate 10 mg/L -1Day of Solution time 9,000s
1,White_1,3
2,White_2,158
3,White_3,152
4,White_4,155
5,White_5,156
6,White_6,153
7,White_7,153
8,White_8,156
9,White_9,157
10,White_10,152
11,White_11,156
12,White_12,152
13,White_13,152
14,White_14,155
15,Red_1,154
16,Red_2,64
17,Red_3,63
18,Red_4,66
19,Red_5,66
20,Red_6,67
21,Red_7,64
22,Red_8,68
23,Red_9,64
24,Red_10,63
25,Red_11,68
26,Red_12,65
27,Red_13,65
28,Red_14,65
29,Red_15,67
30,Green_1,63
31,Green_2,71
32,Green_3,73
33,Green_4,71
34,Green_5,70
35,Green_6,72
36,Green_7,73
37,Green_8,72
38,Green_9,70
39,Green_10,72
40,Green_11,74
41,Green_12,71
42,Green_13,71
43,Green_14,71
44,Green_15,72
45,Blue_1,73
46,Blue_2,28
47,Blue_3,26
48,Blue_4,25
49,Blue_5,25
50,Blue_6,25
51,Blue_7,24
52,Blue_8,25
53,Blue_9,25
54,Blue_10,27
55,Blue_11,24
56,Blue_12,27
57,Blue_13,25
58,Blue_14,24
59,Black_1,25
60,Black_2,4
61,Black_3,4
62,Black_4,4
63,Black_5,4
64,Black_6,4
65,Black_7,4
66,Black_8,4
67,Black_9,5
68,Black_10,4
69,Black_11,5
70,Black_12,4
71,Black_13,5
72,Black_14,5
73,Black_15,4
74,Black_0,4
75,Black_0,4
76,Black_0,4
77,Black_0,5
78,Black_0,4
79,Black_0,4
80,Black_0,5
81,Black_0,4
82,Black_0,4
83,Black_0,4
84,Black_0,5
85,Black_0,4
86,Black_0,4
87,Black_0,4
88,White_1,4
89,White_2,157
90,White_3,157
91,White_4,151
92,White_5,151
93,White_6,153
94,White_7,157
95,White_8,154
96,White_9,154
97,White_10,150
98,White_11,152
99,White_12,148
100,White_13,151
101,White_14,152
102,White_15,151
103,Red_1,150
104,Red_2,66
105,Red_3,66
106,Red_4,65
107,Red_5,64
108,Red_6,67
109,Red_7,66
110,Red_8,62
111,Red_9,68
112,Red_10,65
113,Red_11,64
114,Red_12,63
115,Red_13,68
116,Red_14,65
117,Green_1,65
118,Green_2,71
119,Green_3,74
120,Green_4,74
121,Green_5,74
122,Green_6,71
123,Green_7,75
124,Green_8,69
125,Green_9,72
126,Green_10,73
127,Green_11,74
128,Green_12,72
129,Green_13,74
130,Green_14,76
131,Green_15,73
132,Blue_1,71
133,Blue_2,25
134,Blue_3,25
135,Blue_4,26
136,Blue_5,27
137,Blue_6,23
138,Blue_7,23
139,Blue_8,25
140,Blue_9,26
141,Blue_10,24
142,Blue_11,24
143,Blue_12,25
144,Blue_13,24
145,Blue_14,27
146,Blue_15,27
147,Black_1,26
148,Black_2,4
149,Black_3,4
150,Black_4,3
151,Black_5,5
152,Black_6,4
153,Black_7,4
154,Black_8,4
155,Black_9,4
156,Black_10,5
157,Black_11,4
158,Black_12,4
159,Black_13,4
160,Black_14,4
161,Black_0,4
162,Black_0,4
163,Black_0,4
164,Black_0,5
165,Black_0,4
166,Black_0,4
167,Black_0,4
168,Black_0,5
169,Black_0,4
170,Black_0,4
171,Black_0,3
172,Black_0,4
173,Black_0,4
174,Black_0,4
175,Black_0,4
176,White_1,4
177,White_2,152
178,White_3,157
179,White_4,158
180,White_5,154
181,White_6,153
182,White_7,157
183,White_8,158
184,White_9,152
185,White_10,157
186,White_11,153
187,White_12,149
188,White_13,153
189,White_14,153
190,Red_1,155
191,Red_2,67
192,Red_3,64
193,Red_4,66
194,Red_5,65
195,Red_6,68
196,Red_7,63
197,Red_8,65
198,Red_9,68
199,Red_10,67
200,Red_11,67
201,Red_12,68
202,Red_13,63
203,Red_14,62
204,Red_15,66
205,Green_1,62
206,Green_2,73
207,Green_3,74
208,Green_4,74
209,Green_5,73
210,Green_6,73
211,Green_7,72
212,Green_8,70
213,Green_9,74
214,Green_10,75
215,Green_11,71
216,Green_12,72
217,Green_13,72
218,Green_14,74
219,Blue_1,74
220,Blue_2,25
221,Blue_3,26
222,Blue_4,26
223,Blue_5,25
224,Blue_6,26
225,Blue_7,27
226,Blue_8,24
227,Blue_9,25
228,Blue_10,23
229,Blue_11,27
230,Blue_12,26
231,Blue_13,24
232,Blue_14,26
233,Blue_15,27
234,Black_1,28
235,Black_2,4
236,Black_3,5
237,Black_4,5
238,Black_5,4
239,Black_6,5
240,Black_7,4
241,Black_8,3
242,Black_9,4
243,Black_10,5
244,Black_11,4
245,Black_12,5
246,Black_13,4
247,Black_14,4
248,Black_15,4
249,Black_0,4
250,Black_0,4
251,Black_0,4
252,Black_0,4
253,Black_0,5
254,Black_0,4
255,Black_0,3
256,Black_0,5
257,Black_0,4
258,Black_0,4
259,Black_0,4
260,Black_0,4
261,Black_0,4
262,Black_0,4
263,White_1,4
264,White_2,150
265,White_3,151
266,White_4,155
267,White_5,153
268,White_6,154
269,White_7,156
270,White_8,150
271,White_9,153
272,White_10,157
273,White_11,153
274,White_12,156
275,White_13,151
276,White_14,151
277,White_15,150
278,Red_1,155
279,Red_2,65
280,Red_3,65
281,Red_4,63
282,Red_5,66
283,Red_6,62
284,Red_7,67
285,Red_8,67
286,Red_9,68
287,Red_10,67
288,Red_11,62
289,Red_12,63
290,Red_13,65
291,Red_14,63
292,Green_1,64
