P100_concentrate 100 mg/L -1Day of Solution time 9,000s
1,White_1,3
2,White_2,84
3,White_3,86
4,White_4,88
5,White_5,84
6,White_6,87
7,White_7,85
8,White_8,84
9,White_9,85
10,White_10,88
11,White_11,89
12,White_12,86
13,White_13,88
14,White_14,89
15,Red_1,89
16,Red_2,35
17,Red_3,36
18,Red_4,36
19,Red_5,38
20,Red_6,38
21,Red_7,34
22,Red_8,33
23,Red_9,38
24,Red_10,35
25,Red_11,37
26,Red_12,36
27,Red_13,37
28,Red_14,37
29,Red_15,37
30,Green_1,35
31,Green_2,43
32,Green_3,41
33,Green_4,42
34,Green_5,42
35,Green_6,45
36,Green_7,45
37,Green_8,42
38,Green_9,42
39,Green_10,44
40,Green_11,41
41,Green_12,41
42,Green_13,46
43,Green_14,42
44,Green_15,42
45,Blue_1,44
46,Blue_2,16
47,Blue_3,17
48,Blue_4,14
49,Blue_5,15
50,Blue_6,16
51,Blue_7,15
52,Blue_8,14
53,Blue_9,16
54,Blue_10,15
55,Blue_11,15
56,Blue_12,14
57,Blue_13,16
58,Blue_14,16
59,Black_1,14
60,Black_2,4
61,Black_3,4
62,Black_4,4
63,Black_5,4
64,Black_6,3
65,Black_7,4
66,Black_8,5
67,Black_9,4
68,Black_10,4
69,Black_11,4
70,Black_12,3
71,Black_13,4
72,Black_14,4
73,Black_15,4
74,Black_0,4
75,Black_0,3
76,Black_0,3
77,Black_0,4
78,Black_0,3
79,Black_0,5
80,Black_0,3
81,Black_0,4
82,Black_0,4
83,Black_0,5
84,Black_0,4
85,Black_0,4
86,Black_0,3
87,Black_0,4
88,White_1,4
89,White_2,87
90,White_3,89
91,White_4,89
92,White_5,88
93,White_6,89
94,White_7,86
95,White_8,83
96,White_9,85
97,White_10,85
98,White_11,86
99,White_12,85
100,White_13,86
101,White_14,84
102,White_15,84
103,Red_1,83
104,Red_2,36
105,Red_3,34
106,Red_4,33
107,Red_5,37
108,Red_6,35
109,Red_7,38
110,Red_8,34
111,Red_9,37
112,Red_10,36
113,Red_11,34
114,Red_12,34
115,Red_13,34
116,Red_14,38
117,Green_1,35
118,Green_2,41
119,Green_3,42
120,Green_4,41
121,Green_5,40
122,Green_6,44
123,Green_7,42
124,Green_8,43
125,Green_9,45
126,Green_10,41
127,Green_11,45
128,Green_12,41
129,Green_13,46
130,Green_14,44
131,Green_15,43
132,Blue_1,46
133,Blue_2,15
134,Blue_3,14
135,Blue_4,16
136,Blue_5,15
137,Blue_6,14
138,Blue_7,16
139,Blue_8,14
140,Blue_9,14
141,Blue_10,16
142,Blue_11,14
143,Blue_12,16
144,Blue_13,17
145,Blue_14,15
146,Blue_15,15
147,Black_1,15
148,Black_2,4
149,Black_3,3
150,Black_4,4
151,Black_5,4
152,Black_6,5
153,Black_7,3
154,Black_8,4
155,Black_9,3
156,Black_10,4
157,Black_11,4
158,Black_12,4
159,Black_13,5
160,Black_14,3
161,Black_0,4
162,Black_0,3
163,Black_0,4
164,Black_0,4
165,Black_0,3
166,Black_0,4
167,Black_0,4
168,Black_0,4
169,Black_0,4
170,Black_0,4
171,Black_0,3
172,Black_0,3
173,Black_0,4
174,Black_0,3
175,Black_0,5
176,White_1,4
177,White_2,85
178,White_3,86
179,White_4,86
180,White_5,86
181,White_6,86
182,White_7,85
183,White_8,89
184,White_9,84
185,White_10,85
186,White_11,89
187,White_12,89
188,White_13,86
189,White_14,89
190,Red_1,83
191,Red_2,35
192,Red_3,34
193,Red_4,35
194,Red_5,34
195,Red_6,34
196,Red_7,37
197,Red_8,37
198,Red_9,37
199,Red_10,37
200,Red_11,35
201,Red_12,38
202,Red_13,35
203,Red_14,35
204,Red_15,35
205,Green_1,33
206,Green_2,44
207,Green_3,43
208,Green_4,42
209,Green_5,45
210,Green_6,44
211,Green_7,44
212,Green_8,41
213,Green_9,42
214,Green_10,42
215,Green_11,45
216,Green_12,42
217,Green_13,42
218,Green_14,42
219,Blue_1,41
220,Blue_2,14
221,Blue_3,15
222,Blue_4,15
223,Blue_5,14
224,Blue_6,15
225,Blue_7,16
226,Blue_8,17
227,Blue_9,15
228,Blue_10,15
229,Blue_11,15
230,Blue_12,15
231,Blue_13,14
232,Blue_14,15
233,Blue_15,16
234,Black_1,14
235,Black_2,4
236,Black_3,3
237,Black_4,4
238,Black_5,4
239,Black_6,3
240,Black_7,3
241,Black_8,4
242,Black_9,3
243,Black_10,4
244,Black_11,4
245,Black_12,3
246,Black_13,4
247,Black_14,4
248,Black_15,4
249,Black_0,3
250,Black_0,4
251,Black_0,3
252,Black_0,4
253,Black_0,3
254,Black_0,4
255,Black_0,4
256,Black_0,4
257,Black_0,4
258,Black_0,4
259,Black_0,3
260,Black_0,3
261,Black_0,4
262,Black_0,4
263,White_1,4
264,White_2,89
265,White_3,87
266,White_4,88
267,White_5,87
268,White_6,86
269,White_7,86
270,White_8,83
271,White_9,83
272,White_10,83
273,White_11,86
274,White_12,85
275,White_13,85
276,White_14,89
277,White_15,83
278,Red_1,88
279,Red_2,36
280,Red_3,37
281,Red_4,36
282,Red_5,35
283,Red_6,35
284,Red_7,33
285,Red_8,38
286,Red_9,34
287,Red_10,34
288,Red_11,38
289,Red_12,33
290,Red_13,34
291,Red_14,35
292,Green_1,37
293,Green_2,44
294,Green_3,43
295,Green_4,44
296,Green_5,43
297,Green_6,42
298,Green_7,44
299,Green_8,41
300,Green_9,42
301,Green_10,44
302,Green_11,41
303,Green_12,42
304,Green_13,44
305,Green_14,43
306,Green_15,41
307,Blue_1,42
308,Blue_2,15
309,Blue_3,15
310,Blue_4,16
311,Blue_5,16
312,Blue_6,15
313,Blue_7,15
314,Blue_8,16
315,Blue_9,14
316,Blue_10,15
317,Blue_11,16
318,Blue_12,17
319,Blue_13,16
320,Blue_14,16
321,Black_1,16
322,Black_2,4
323,Black_3,5
324,Black_4,3
325,Black_5,4
326,Black_6,3
327,Black_7,4
328,Black_8,5
329,Black_9,4
330,Black_10,4
331,Black_11,5
332,Black_12,5
333,Black_13,4
334,Black_14,4
335,Black_15,4
336,Black_0,5
337,Black_0,4
338,Black_0,4
339,Black_0,4
340,Black_0,4
341,Black_0,4
342,Black_0,3
343,Black_0,3
344,Black_0,4
345,Black_0,4
346,Black_0,4
347,Black_0,4
348,Black_0,4
349,Black_0,3
350,Black_0,5
351,White_1,3
352,White_2,84
353,White_3,87
354,White_4,86
355,White_5,82
356,White_6,86
357,White_7,84
358,White_8,86
359,White_9,88
360,White_10,84
