Color,Intensity
White,461
White,464
White,465
White,458
White,458
White,462
White,460
White,457
White,459
Red,143
Red,142
Red,146
Red,149
Red,145
Red,144
Red,146
Red,143
Red,142
Red,148
Green,35
Green,36
Green,36
Green,35
Green,35
Green,36
Green,39
Green,36
Green,37
Green,35
Blue,292
Blue,291
Blue,295
Blue,294
Blue,293
Blue,296
Blue,293
Blue,287
Blue,297
Blue,294
White,459
White,456
White,460
White,453
White,451
White,457
White,459
White,461
White,460
White,458
Red,144
Red,144
Red,144
Red,145
Red,141
Red,146
Red,146
Red,152
Red,146
Red,143
Off,6
White,465
White,460
White,463
White,463
White,460
White,458
White,459
White,459
White,466
Red,145
Red,144
Red,142
Red,142
Red,144
Red,147
Red,150
Red,142
Red,150
Red,149
Green,37
Green,37
Green,38
Green,36
Green,38
Green,39
Green,35
Green,37
Green,35
Green,34
Blue,285
Blue,284
Blue,287
Blue,288
Blue,286
Blue,290
Blue,293
Blue,294
Blue,291
Blue,294
White,459
White,460
White,454
White,453
White,457
White,456
White,457
White,454
White,457
White,457
Red,144
Red,148
Red,144
Red,148
Red,149
Red,146
Red,143
Red,146
Red,152
Red,144
Off,6
White,460
White,456
White,458
White,460
White,460
White,461
White,461
White,462
White,462
Red,151
Red,149
Red,144
Red,150
Red,149
Red,145
Red,143
Red,142
Red,146
Red,147
Green,35
Green,36
Green,38
Green,33
Green,35
Green,35
Green,36
Green,34
Green,34
Green,33
Blue,296
Blue,295
Blue,291
Blue,294
Blue,291
Blue,293
Blue,291
Blue,289
Blue,296
Blue,295
White,457
White,460
White,456
White,456
White,462
White,455
White,454
White,454
White,454
White,454
Red,146
Red,143
Red,145
Red,150
Red,143
Red,147
Red,145
Red,149
Red,146
Red,146
Off,5
White,459
White,459
White,458
White,459
White,453
White,456
White,456
White,456
White,457
Red,145
Red,149
Red,146
Red,143
Red,148
Red,141
Red,145
Red,144
Red,147
Red,144
Green,35
Green,33
Green,36
Green,37
Green,35
Green,36
Green,33
Green,34
Green,37
Green,36
Blue,289
Blue,285
Blue,289
Blue,290
Blue,296
Blue,285
Blue,292
Blue,291
Blue,293
Blue,296
White,454
White,455
White,454
White,459
White,457
White,458
White,455
White,457
White,457
White,457
Red,145
Red,144
Red,147
Red,146
Red,146
Red,144
Red,146
Red,143
Red,145
Red,143
Off,4
White,457
White,459
White,458
White,451
White,451
White,458
White,460
White,461
White,458
Red,147
Red,142
Red,144
Red,142
Red,146
Red,143
Red,142
Red,143
Red,142
Red,147
Green,38
Green,36
Green,35
Green,34
Green,33
Green,34
