No.,Order,Color,Intensity
6,6,White,786
7,7,White,790
8,8,White,797
9,9,White,796
10,10,White,793
11,11,White,794
12,12,White,800
13,13,White,802
14,14,White,806
15,15,White,804
16,16,White,801
17,17,White,802
18,18,White,807
19,19,White,812
20,20,White,810
21,21,White,807
22,22,White,810
23,23,White,807
24,24,White,808
35,6,Red,298
36,7,Red,294
37,8,Red,301
38,9,Red,300
39,10,Red,297
40,11,Red,297
41,12,Red,294
42,13,Red,294
43,14,Red,301
44,15,Red,290
45,16,Red,300
46,17,Red,295
47,18,Red,295
48,19,Red,301
49,20,Red,289
50,21,Red,300
51,22,Red,294
52,23,Red,293
53,24,Red,290
64,6,Green,335
65,7,Green,332
66,8,Green,326
67,9,Green,335
68,10,Green,335
69,11,Green,336
70,12,Green,335
71,13,Green,336
72,14,Green,334
73,15,Green,334
74,16,Green,333
75,17,Green,342
76,18,Green,337
77,19,Green,338
78,20,Green,337
79,21,Green,338
80,22,Green,337
81,23,Green,333
82,24,Green,334
93,6,Blue,230
94,7,Blue,230
95,8,Blue,233
96,9,Blue,232
97,10,Blue,233
98,11,Blue,231
99,12,Blue,233
100,13,Blue,230
101,14,Blue,228
102,15,Blue,231
103,16,Blue,231
104,17,Blue,236
105,18,Blue,232
106,19,Blue,232
107,20,Blue,232
108,21,Blue,231
109,22,Blue,230
110,23,Blue,233
111,24,Blue,231
122,6,Black,16
123,7,Black,15
124,8,Black,16
125,9,Black,18
126,10,Black,18
127,11,Black,18
128,12,Black,17
129,13,Black,18
130,14,Black,17
131,15,Black,17
132,16,Black,15
133,17,Black,15
134,18,Black,16
135,19,Black,18
136,20,Black,16
137,21,Black,16
138,22,Black,15
139,23,Black,17
140,24,Black,16
180,6,White,781
181,7,White,795
182,8,White,790
183,9,White,792
184,10,White,788
185,11,White,785
186,12,White,789
187,13,White,792
188,14,White,792
189,15,White,792
190,16,White,791
191,17,White,788
192,18,White,791
193,19,White,797
194,20,White,790
195,21,White,791
196,22,White,782
197,23,White,795
198,24,White,792
209,6,Red,300
210,7,Red,295
211,8,Red,296
212,9,Red,293
213,10,Red,294
214,11,Red,293
215,12,Red,295
216,13,Red,296
217,14,Red,293
218,15,Red,293
219,16,Red,299
220,17,Red,292
221,18,Red,294
222,19,Red,294
223,20,Red,293
224,21,Red,292
225,22,Red,294
226,23,Red,293
227,24,Red,297
238,6,Green,334
239,7,Green,336
240,8,Green,338
241,9,Green,335
242,10,Green,330
243,11,Green,333
244,12,Green,330
245,13,Green,340
246,14,Green,335
247,15,Green,334
248,16,Green,339
249,17,Green,340
250,18,Green,334
251,19,Green,338
252,20,Green,341
253,21,Green,341
254,22,Green,333
255,23,Green,335
256,24,Green,329
267,6,Blue,227
268,7,Blue,233
269,8,Blue,233
270,9,Blue,235
271,10,Blue,229
272,11,Blue,226
273,12,Blue,234
274,13,Blue,237
275,14,Blue,230
276,15,Blue,228
277,16,Blue,232
278,17,Blue,233
279,18,Blue,229
280,19,Blue,234
281,20,Blue,231
282,21,Blue,229
283,22,Blue,234
284,23,Blue,234
285,24,Blue,229
296,6,Black,15
297,7,Black,16
298,8,Black,16
299,9,Black,17
300,10,Black,15
301,11,Black,16
302,12,Black,16
303,13,Black,17
304,14,Black,17
305,15,Black,17
306,16,Black,17
307,17,Black,17
308,18,Black,16
309,19,Black,18
310,20,Black,17
311,21,Black,17
312,22,Black,17
313,23,Black,16
314,24,Black,15
354,6,White,803
355,7,White,796
356,8,White,810
357,9,White,806
358,10,White,806
359,11,White,801
360,12,White,794
361,13,White,805
362,14,White,801
363,15,White,808
364,16,White,802
365,17,White,803
366,18,White,802
367,19,White,802
368,20,White,802
369,21,White,804
370,22,White,801
371,23,White,802
372,24,White,806
383,6,Red,297
384,7,Red,295
385,8,Red,291
386,9,Red,291
387,10,Red,292
388,11,Red,295
389,12,Red,293
390,13,Red,295
391,14,Red,291
392,15,Red,290
393,16,Red,287
394,17,Red,292
395,18,Red,294
396,19,Red,296
397,20,Red,293
398,21,Red,296
399,22,Red,292
400,23,Red,297
401,24,Red,290
412,6,Green,342
413,7,Green,344
414,8,Green,349
415,9,Green,345
416,10,Green,344
417,11,Green,346
418,12,Green,343
419,13,Green,346
420,14,Green,345
421,15,Green,343
422,16,Green,342
423,17,Green,348
424,18,Green,342
425,19,Green,347
426,20,Green,340
427,21,Green,335
428,22,Green,341
429,23,Green,339
430,24,Green,346
440,6,Blue,237
441,7,Blue,229
442,8,Blue,231
443,9,Blue,230
444,10,Blue,232
445,11,Blue,237
446,12,Blue,227
447,13,Blue,229
448,14,Blue,233
449,15,Blue,234
450,16,Blue,233
451,17,Blue,231
452,18,Blue,234
453,19,Blue,232
454,20,Blue,226
455,21,Blue,232
456,22,Blue,231
457,23,Blue,236
458,24,Blue,231
469,6,Black,17
470,7,Black,16
471,8,Black,15
472,9,Black,17
473,10,Black,16
474,11,Black,17
475,12,Black,14
476,13,Black,18
477,14,Black,15
478,15,Black,15
479,16,Black,17
480,17,Black,14
481,18,Black,15
482,19,Black,15
483,20,Black,18
484,21,Black,15
485,22,Black,17
486,23,Black,16
487,24,Black,15
527,6,White,802
528,7,White,799
529,8,White,801
530,9,White,795
531,10,White,799
532,11,White,796
533,12,White,798
534,13,White,801
535,14,White,797
536,15,White,804
537,16,White,795
538,17,White,804
539,18,White,797
540,19,White,797
541,20,White,803
542,21,White,792
543,22,White,803
544,23,White,797
545,24,White,802
556,6,Red,295
557,7,Red,291
558,8,Red,290
559,9,Red,291
560,10,Red,291
561,11,Red,295
562,12,Red,296
563,13,Red,292
564,14,Red,289
565,15,Red,294
566,16,Red,294
567,17,Red,287
568,18,Red,292
569,19,Red,291
570,20,Red,292
571,21,Red,296
572,22,Red,292
573,23,Red,293
574,24,Red,292
585,6,Green,344
586,7,Green,344
587,8,Green,344
588,9,Green,343
589,10,Green,340
590,11,Green,347
591,12,Green,345
592,13,Green,343
593,14,Green,343
594,15,Green,341
595,16,Green,345
596,17,Green,339
597,18,Green,341
598,19,Green,341
599,20,Green,345
600,21,Green,340
601,22,Green,346
602,23,Green,341
603,24,Green,346
614,6,Blue,238
615,7,Blue,234
616,8,Blue,237
617,9,Blue,235
618,10,Blue,236
619,11,Blue,228
620,12,Blue,234
621,13,Blue,231
622,14,Blue,231
623,15,Blue,233
624,16,Blue,233
625,17,Blue,238
626,18,Blue,236
627,19,Blue,233
628,20,Blue,233
629,21,Blue,232
630,22,Blue,230
631,23,Blue,227
632,24,Blue,231
643,6,Black,13
644,7,Black,15
